,anio,eleccion,partido,pais,puesto,votos,censo
291,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ECUADOR,StoDomingoColoradosConsu,1,2785
292,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ESPANA,MadridEmbajada,8,13237
293,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ESTADOSUNIDOS,AtlantaConsulado,9,5907
294,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,FRANCIA,ParisLyon,1,144
295,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,ITALIA,Milan,2,1715
296,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,NICARAGUA,ManaguaEmbajada,2,182
297,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,PANAMA,PanamaConsulado,5,6832
298,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
299,2010,CmaraNegritudes,MOVIMIENTOPOPULARUNIDOMPU,VENEZUELA,CaracasConsulado,3,28288
300,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,ECUADOR,QuitoConsulado,8,4302
301,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,ESPANA,BilbaoConsulado,3,3846
302,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,ESTADOSUNIDOS,MiamiSarasota,5,553
303,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,PANAMA,PanamaConsulado,1,6832
304,2010,CmaraNegritudes,MOVIMIENTOVOLUNTADPOPULAR,VENEZUELA,CaracasConsulado,7,28288
305,2010,CmaraNegritudes,ORGANIZACIONANCESTRICAAFROCOLOMBIANAOANAC,COSTARICA,SanJoseEmbajada,1,6350
306,2010,CmaraNegritudes,ORGANIZACIONANCESTRICAAFROCOLOMBIANAOANAC,ECUADOR,EsmeraldasConsulado,1,690
307,2010,CmaraNegritudes,ORGANIZACIONANCESTRICAAFROCOLOMBIANAOANAC,ESTADOSUNIDOS,MiamiConsulado,1,24111
308,2010,CmaraNegritudes,ORGANIZACIONANCESTRICAAFROCOLOMBIANAOANAC,VENEZUELA,CaracasConsulado,3,28288
309,2010,CmaraNegritudes,ORGANIZACIONDECOMUNIDADESNEGRASENANTIOQUIAESTUDIANT,ESPANA,MadridConsulado,1,11707
310,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANASRESIDENTESENE,ECUADOR,StoDomingoColoradosConsu,2,2785
311,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANASRESIDENTESENE,ESPANA,SevillaConsulado,1,3050
312,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANASRESIDENTESENE,ESTADOSUNIDOS,MiamiConsulado,2,24111
313,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANASRESIDENTESENE,VENEZUELA,CaracasConsulado,2,28288
314,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANOSRESIDENTESENM,ARGENTINA,BuenosAiresConsulado,1,2859
315,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANOSRESIDENTESENM,ECUADOR,StoDomingoColoradosConsu,1,2785
316,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANOSRESIDENTESENM,ESTADOSUNIDOS,HoustonConsulado,5,4786
317,2010,CmaraNegritudes,ORGANIZACIONDELASETNIASAFROCOLOMBIANOSRESIDENTESENM,VENEZUELA,ElAmparoConsulado,3,1241
318,2010,CmaraNegritudes,ORGANIZACIONETNICACOMUNITARIAAFROCOLOMBIANAOECA,CANADA,MontrealConsulado,2,3397
319,2010,CmaraNegritudes,ORGANIZACIONETNICACOMUNITARIAAFROCOLOMBIANAOECA,ELSALVADOR,SanSalvadorConsulado,1,351
320,2010,CmaraNegritudes,ORGANIZACIONETNICACOMUNITARIAAFROCOLOMBIANAOECA,ESTADOSUNIDOS,ChicagoConsulado,2,1954
321,2010,CmaraNegritudes,ORGANIZACIONETNICACOMUNITARIAAFROCOLOMBIANAOECA,VENEZUELA,CaracasTurumo,3,746
322,2010,CmaraNegritudes,ORGANIZACIONSOCIALDECOMUNIDADESNEGRASANGELADAVIS,ESPANA,MadridConsulado,1,11707
323,2010,CmaraNegritudes,ORGANIZACIONSOCIALDECOMUNIDADESNEGRASANGELADAVIS,ESTADOSUNIDOS,BostonConsulado,3,5212
324,2010,CmaraNegritudes,VOTOSBLANCOS,ALEMANIA,Frankfurt,1,1185
325,2010,CmaraNegritudes,VOTOSBLANCOS,ARGENTINA,BuenosAiresConsulado,7,2859
326,2010,CmaraNegritudes,VOTOSBLANCOS,AUSTRALIA,Brisbane,2,491
327,2010,CmaraNegritudes,VOTOSBLANCOS,BRASIL,SaoPauloConsulado,2,538
328,2010,CmaraNegritudes,VOTOSBLANCOS,CANADA,MontrealConsulado,13,3397
329,2010,CmaraNegritudes,VOTOSBLANCOS,CHINAREPUBLICAPOPULAR,BeijingEmbajada,1,145
330,2010,CmaraNegritudes,VOTOSBLANCOS,COSTARICA,SanJoseEmbajada,8,6350
331,2010,CmaraNegritudes,VOTOSBLANCOS,ECUADOR,QuitoConsulado,24,4302
332,2010,CmaraNegritudes,VOTOSBLANCOS,ESPANA,BarcelonaConsulado,35,11766
333,2010,CmaraNegritudes,VOTOSBLANCOS,ESTADOSUNIDOS,AtlantaConsulado,100,5907
