anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CONSULADOS,123,57583
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CORDOBA,581,270958
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,CUNDINAMARCA,1034,728758
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,GUAINIA,7,14198
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,GUAVIARE,47,20522
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,HUILA,615,251649
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,LAGUAJIRA,183,127186
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,MAGDALENA,2372,197313
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,META,259,148332
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,NARINO,1237,319803
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,NORTEDESANTANDER,622,219983
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,PUTUMAYO,169,107826
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,QUINDIO,348,76812
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,RISARALDA,1096,110026
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,SANTANDER,1113,381310
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,SUCRE,282,205540
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,TOLIMA,642,311657
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,VALLEDELCAUCA,5482,300228
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,VAUPES,14,2505
2010,Presidencia1eravuelta,MOVIMIENTOLAVOZDELACONSCIENCIA,ROBINSONDEVIAGONZALEZ,VICHADA,8,23290
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,AMAZONAS,1086,14390
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,ANTIOQUIA,255049,992439
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,ARAUCA,3937,48663
2010,Presidencia1eravuelta,PARTIDOCAMBIORADICAL,GERMNVARGASLLERAS,ARCHIPIELAGODESANANDRES,557,19695
